complete_game,earned_runs,hbp,hits,hits_per_nine,homeruns,hr_per_nine,innings_pitched,left_on_base,pitcher_age,pitchers_used,runs,so_per_nine,so_walk,strikeouts,team,walks,walks_per_nine,whip,year
6,711,61,1510,9.5,160,1.0,1426.1,1143,27.9,41,773,7.0,2.20,1110,TEX,505,3.2,1.413,2014.0
3,642,57,1400,8.7,151,0.9,1443.0,1135,29.6,27,686,7.5,2.45,1199,TOR,490,3.1,1.310,2014.0
5,495,51,1351,8.3,110,0.7,1470.2,1053,28.3,18,555,7.9,3.66,1288,WSN,352,2.2,1.158,2014.0
1,659,48,1450,8.9,182,1.1,1466.2,1144,27.1,27,713,7.5,2.43,1215,ARI,500,3.1,1.330,2015.0
3,698,53,1462,9.2,170,1.1,1425.1,1120,26.6,37,760,7.2,2.09,1148,ATL,550,3.5,1.412,2015.0
0,646,54,1406,8.8,174,1.1,1434.2,1088,28.3,22,693,7.7,2.55,1233,BAL,483,3.0,1.317,2015.0
3,694,62,1486,9.2,178,1.1,1448.1,1127,28.6,26,753,7.6,2.55,1218,BOS,478,3.0,1.356,2015.0
6,546,46,1276,7.9,134,0.8,1461.1,1005,29.3,29,608,8.8,3.52,1431,CHC,407,2.5,1.152,2015.0
7,643,62,1443,8.9,162,1.0,1452.2,1122,27.8,24,701,8.4,2.87,1359,CHW,474,2.9,1.320,2015.0
2,700,58,1436,8.9,177,1.1,1453.1,1157,27.3,28,754,7.8,2.30,1252,CIN,544,3.4,1.362,2015.0
11,584,48,1274,8.0,161,1.0,1432.2,966,27.3,27,640,8.8,3.31,1407,CLE,425,2.7,1.186,2015.0
4,799,48,1579,10.0,183,1.2,1426.1,1185,28.7,30,844,7.0,1.92,1112,COL,579,3.7,1.513,2015.0
7,746,46,1491,9.3,193,1.2,1447.0,1044,28.7,27,803,6.8,2.25,1100,DET,489,3.0,1.368,2015.0
5,572,43,1308,8.2,148,0.9,1441.0,1024,29.4,24,618,8.0,3.03,1280,HOU,423,2.6,1.201,2015.0
2,601,52,1372,8.5,155,1.0,1452.0,1115,30.0,24,641,7.2,2.37,1160,KCR,489,3.0,1.282,2015.0
2,630,71,1355,8.5,166,1.0,1440.2,1099,28.3,25,675,7.6,2.62,1221,LAA,466,2.9,1.264,2015.0
6,553,38,1317,8.2,145,0.9,1445.2,1000,28.1,31,595,8.7,3.53,1396,LAD,395,2.5,1.184,2015.0
0,638,52,1374,8.7,141,0.9,1427.0,1091,27.3,29,678,7.3,2.27,1152,MIA,508,3.2,1.319,2015.0
1,682,55,1432,9.0,176,1.1,1435.0,1106,28.4,26,737,7.9,2.44,1260,MIL,517,3.2,1.358,2015.0
2,653,41,1506,9.4,163,1.0,1443.0,1110,29.1,24,700,6.5,2.53,1046,MIN,413,2.6,1.330,2015.0
1,557,44,1341,8.3,152,0.9,1462.2,1045,28.2,26,613,8.2,3.49,1337,NYM,383,2.4,1.179,2015.0
3,652,56,1416,8.7,182,1.1,1457.2,1120,27.4,33,698,8.5,2.89,1370,NYY,474,2.9,1.297,2015.0
5,664,47,1402,8.7,172,1.1,1444.2,1065,27.8,30,729,7.3,2.49,1179,OAK,474,3.0,1.299,2015.0
1,749,61,1592,10.0,191,1.2,1436.1,1214,28.5,30,809,7.2,2.36,1153,PHI,488,3.1,1.448,2015.0
0,532,75,1392,8.4,110,0.7,1489.2,1150,29.6,21,596,8.1,2.95,1338,PIT,453,2.7,1.239,2015.0
1,655,54,1371,8.6,171,1.1,1440.1,1041,29.1,26,731,8.7,2.70,1393,SDP,516,3.2,1.310,2015.0
6,677,70,1430,8.8,181,1.1,1463.0,1108,28.6,28,726,7.9,2.61,1283,SEA,491,3.0,1.313,2015.0
7,597,50,1344,8.4,155,1.0,1444.1,1049,31.5,21,627,7.3,2.70,1165,SFG,431,2.7,1.229,2015.0
1,478,45,1359,8.4,123,0.8,1464.2,1215,28.2,23,525,8.2,2.79,1329,STL,477,2.9,1.254,2015.0
1,604,46,1314,8.1,175,1.1,1453.1,1067,26.7,27,642,8.4,2.84,1355,TBR,477,3.0,1.232,2015.0
5,680,63,1459,9.1,171,1.1,1442.2,1154,28.1,31,733,6.8,2.16,1095,TEX,508,3.2,1.363,2015.0
7,609,59,1353,8.5,173,1.1,1441.0,991,29.2,28,670,7.0,2.81,1117,TOR,397,2.5,1.214,2015.0
